Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-June-2022,800.50,847.75,788.00,791.80,818.373689781146505514,29289,2943,23969347.00,7369,25.16,59.75,-8.70
21-June-2022,780.00,822.25,776.95,802.35,803.300650054171180931,9230,1378,7414465.00,3226,34.95,45.30,22.35
20-June-2022,763.00,782.30,762.70,770.85,771.954321932029286416,9151,1279,7064154.00,3387,37.01,19.60,7.85
17-June-2022,777.00,777.00,744.00,766.85,756.021548284118116520,8771,1131,6631065.00,3209,36.59,33.00,-10.15
16-June-2022,808.40,825.00,770.00,774.15,789.293193717277486910,8786,1515,6934730.00,2230,25.38,55.00,-34.25
15-June-2022,795.00,808.55,792.90,801.00,802.766394521991045562,3797,612,3048104.00,1388,36.56,15.65,6.00
14-June-2022,779.75,801.40,779.75,790.35,792.679127725856697819,4173,678,3307850.00,1585,37.98,21.65,10.60
13-June-2022,795.00,806.00,783.55,785.90,793.588977955911823647,9980,1305,7920018.00,4652,46.61,22.45,-9.10
10-June-2022,815.05,816.85,805.40,808.95,810.545424181696726786,2994,662,2426773.00,1094,36.54,11.45,-6.10
9-June-2022,830.00,832.40,815.15,818.65,820.944268147560491868,5042,809,4139201.00,1960,38.87,17.25,-11.35
8-June-2022,849.30,849.30,822.00,836.75,834.514376298239860063,9147,1305,7633303.00,2068,22.61,27.30,-12.55
7-June-2022,793.80,836.65,783.10,829.25,815.745181724246372253,22259,2742,18157672.00,10815,48.59,53.55,35.45
6-June-2022,806.00,813.95,786.05,791.05,795.671595598349381017,8724,1414,6941439.00,2519,28.87,27.90,-14.95
3-June-2022,821.20,824.20,791.05,797.00,808.951417735235687195,5537,817,4479164.00,1479,26.71,33.15,-24.20
2-June-2022,799.00,817.85,793.30,796.25,802.016648030811280904,8049,931,6455432.00,2067,25.68,24.55,-2.75
1-June-2022,791.15,835.60,790.15,798.75,808.400030270924776751,19821,2735,16023297.00,6823,34.42,45.45,7.60
31-May-2022,808.65,813.35,776.60,783.60,795.871645975170204245,4994,948,3974583.00,2430,48.66,36.75,-25.05
30-May-2022,792.85,824.85,788.00,808.65,812.684644988566010374,17929,2114,14570623.00,5488,30.61,36.85,15.80
27-May-2022,781.80,782.75,761.00,781.15,772.524665817950350095,6284,1519,4854545.00,1654,26.32,21.75,-0.65
26-May-2022,747.00,753.90,730.00,750.45,741.756300770672776504,9602,1751,7122344.00,3009,31.34,23.90,3.45
25-May-2022,781.40,782.40,727.65,748.65,749.376350041539739684,10833,1807,8117994.00,5097,47.05,54.75,-32.75
24-May-2022,781.30,785.70,771.80,777.60,777.868892261001517450,3295,603,2563078.00,1077,32.69,13.90,-3.70
23-May-2022,778.00,786.15,769.30,783.60,779.481866918953011668,3171,543,2471737.00,705,22.23,16.85,5.60
20-May-2022,789.40,792.20,781.00,785.80,784.710569516353074883,7919,894,6214123.00,4145,52.34,11.20,-3.60
19-May-2022,783.00,791.45,771.05,775.45,779.838120512019981267,6406,1308,4995643.00,1719,26.83,20.40,-7.55
18-May-2022,785.20,799.70,782.05,784.50,792.413830195927775643,13015,2031,10313266.00,4225,32.46,17.65,-0.70
17-May-2022,780.00,790.70,778.85,783.60,784.347856274952265231,5761,708,4518628.00,2018,35.03,11.85,3.60
16-May-2022,793.00,794.85,771.95,776.05,781.179815518176885512,9215,929,7198572.00,4915,53.34,22.90,-16.95
13-May-2022,793.90,799.35,776.45,788.65,786.480612189713914877,18491,2014,14542813.00,6029,32.60,22.90,-5.25
12-May-2022,797.00,800.75,766.25,786.30,784.975997068344225248,16373,1639,12852412.00,2895,17.68,34.50,-10.70
11-May-2022,828.60,829.65,782.05,798.10,796.581484499984907482,33129,3977,26389948.00,9408,28.40,47.60,-30.50
10-May-2022,862.95,869.15,822.00,827.70,839.999068270370997797,11806,1273,9917029.00,2906,24.61,47.15,-35.25
9-May-2022,879.10,879.10,837.30,858.65,853.155537677661571466,7458,851,6362834.00,1670,22.39,41.80,-20.45
6-May-2022,872.20,872.20,840.45,864.95,852.043185222166749875,12018,1274,10239855.00,2930,24.38,31.75,-7.25
5-May-2022,872.10,884.35,863.50,870.30,870.851570791763956697,18844,1860,16410327.00,5515,29.27,20.85,-1.80
4-May-2022,886.20,911.15,857.75,872.35,886.577574666482020034,21663,1727,19205930.00,3734,17.24,53.40,-13.85
2-May-2022,879.00,879.00,849.30,865.35,865.604467509025270758,13296,1415,11509077.00,3544,26.65,29.70,-13.65
29-April-2022,887.00,895.60,880.80,884.85,885.445374195910255739,19121,1668,16930601.00,7988,41.78,14.80,-2.15
28-April-2022,915.35,915.35,883.05,897.40,899.639745017947765812,16158,1535,14536379.00,4919,30.44,32.30,-17.95
27-April-2022,903.00,903.00,876.60,896.80,887.956280772304281700,38793,2798,34446488.00,22073,56.90,26.40,-6.20
26-April-2022,914.00,935.00,894.00,910.10,910.355592922941950577,68390,3879,62259219.00,32718,47.84,41.00,-3.90
25-April-2022,895.00,929.00,881.10,905.30,901.314529072045089787,79131,5493,71321920.00,23744,30.01,47.90,10.30
22-April-2022,845.00,952.00,845.00,918.45,913.827846828302509388,190923,10267,174470754.00,33292,17.44,107.00,73.45
21-April-2022,816.10,840.75,814.75,831.15,832.275566490733759276,25199,2550,20972512.00,7372,29.26,26.00,15.05
20-April-2022,830.00,836.80,800.85,806.60,817.864035291386115625,21535,1872,17612702.00,8429,39.14,35.95,-23.40
19-April-2022,858.15,858.15,826.15,828.00,834.070406476255629667,17541,2058,14630429.00,7031,40.08,32.00,-30.15
18-April-2022,830.00,862.60,830.00,838.25,845.475210606269852230,21723,2433,18366258.00,10667,49.10,32.60,8.25
13-April-2022,875.00,879.20,865.60,869.10,869.755933852140077821,10280,1278,8941091.00,3930,38.23,13.60,-5.90
12-April-2022,885.85,889.90,863.00,865.60,873.801484323723935982,19807,2379,17307386.00,11878,59.97,26.90,-20.25
11-April-2022,911.90,911.90,890.75,895.15,901.286633388796450360,18030,2019,16250198.00,10778,59.78,21.15,-16.75
8-April-2022,912.00,920.00,903.00,906.15,909.398218829516539440,13362,1493,12151379.00,7630,57.10,17.00,-5.85
7-April-2022,923.90,930.65,910.00,913.45,918.804827940421160760,15576,1607,14311304.00,7285,46.77,20.65,-10.45
6-April-2022,954.00,954.00,928.40,930.50,931.605158371040723981,11050,1194,10294237.00,4962,44.90,25.60,-23.50
5-April-2022,945.00,951.00,931.95,934.20,938.508056998268744173,7509,704,7047257.00,3072,40.91,19.05,-10.80
4-April-2022,929.80,945.85,919.75,944.00,930.242460991187646535,12369,878,11506169.00,3451,27.90,26.10,14.20
1-April-2022,916.40,943.65,916.15,921.80,929.884868048476611167,17658,1361,16419907.00,7054,39.95,27.50,5.40
31-March-2022,914.55,943.95,914.55,929.15,931.204486626402070750,11590,1095,10792660.00,3762,32.46,29.40,14.60
30-March-2022,919.40,926.90,910.10,914.75,918.324887926257996272,19853,1497,18231504.00,12082,60.86,16.80,-4.65
29-March-2022,912.65,925.00,906.80,915.95,913.915620473201352003,8284,670,7570877.00,2559,30.89,18.20,3.30
28-March-2022,913.80,915.00,901.35,910.40,906.826009501187648456,6736,579,6108380.00,1749,25.96,13.65,-3.40
25-March-2022,924.15,925.95,910.10,913.80,916.398580121703853955,6902,527,6324983.00,2471,35.80,15.85,-10.35
24-March-2022,937.20,938.00,902.95,919.40,919.530774690732103021,19724,1165,18136825.00,5313,26.94,35.05,-17.80
23-March-2022,960.00,964.45,935.10,936.80,945.438263741448454824,21195,1746,20038564.00,12363,58.33,29.35,-23.20
22-March-2022,912.00,954.40,898.45,950.40,931.640320216484383808,35476,3202,33050872.00,18222,51.36,55.95,38.40
21-March-2022,890.50,914.45,890.50,901.55,907.583981037429028168,18141,1893,16464481.00,7661,42.23,23.95,11.05
17-March-2022,926.80,926.80,890.60,899.00,904.714136594094840441,6706,899,6067013.00,3164,47.18,36.20,-27.80
16-March-2022,894.90,915.00,891.35,897.85,903.243068238419392329,6023,563,5440233.00,1857,30.83,23.65,2.95
15-March-2022,881.00,907.00,881.00,894.90,896.572677060756484653,14303,1008,12823679.00,7981,55.80,26.00,13.90
14-March-2022,881.00,900.10,877.25,882.70,886.559282319073441788,14937,1006,13242536.00,8568,57.36,22.85,1.70
11-March-2022,886.85,902.55,882.70,886.60,893.294327269713670078,24133,1333,21557872.00,10958,45.41,19.85,-0.25
